Name,Status,Date,Basin
BANSI,Very Intense Tropical Cyclone,January 2015,Indian
MEKKHALA,Typhoon,January 2015,W. Pacific
CHEDZA,Severe Tropical Storm,January 2015,Indian
NIKO,Tropical Cyclone - Category 2,January 2015,S. Pacific
DIAMONDRA,Moderate Tropical Storm,January 2015,Indian
EUNICE,Very Intense Tropical Cyclone,January 2015,Indian
OLA,Tropical Cyclone - Category 3,January 2015,S. Pacific
FUNDI,Moderate Tropical Storm,February 2015,Indian
HIGOS,Violent Typhoon,February 2015,W. Pacific
LAM,Tropical Cyclone - Category 4,February 2015,S. Pacific
MARCIA,Tropical Cyclone - Category 5,February 2015,S. Pacific
GLENDA,Severe Tropical Storm,February 2015,Indian
FIFTEEN,Moderate Tropical Storm,March 2015,Indian
HALIBA,Moderate Tropical Storm,March 2015,Indian
PAM,Tropical Cyclone - Category 5,March 2015,S. Pacific
NATHAN,Tropical Cyclone - Category 4,March 2015,S. Pacific
OLWYN,Tropical Cyclone,March 2015,Indian
BAVI,Severe Tropical Storm,March 2015,W. Pacific
REUBEN,Tropical Cyclone - Category 1,March 2015,S. Pacific
MAYSAK,Violent Typhoon,March 2015,W. Pacific
HAISHEN,Tropical Storm,April 2015,W. Pacific
IKOLA,Intense Tropical Cyclone,April 2015,Indian
JOALANE,Intense Tropical Cyclone,April 2015,Indian
SOLO,Tropical Cyclone - Category 2,April 2015,S. Pacific
QUANG,Intense Tropical Cyclone,April 2015,Indian
NOUL,Violent Typhoon,May 2015,W. Pacific
DOLPHIN,Violent Typhoon,May 2015,W. Pacific
ANA,Subtropical,May 2015,Atlantic
ANDRES,Hurricane - Category 4,May 2015,E. Pacific
BLANCA,Hurricane - Category 4,May 2015,E. Pacific
ASHOBAA,Severe Cyclonic Storm,June 2015,Indian
CARLOS,Hurricane - Category 2,June 2015,E. Pacific
BILL,Tropical Storm,June 2015,Atlantic
KUJIRA,Tropical Storm,June 2015,W. Pacific
CHAN-HOM,Violent Typhoon,June 2015,W. Pacific
RAQUEL,Tropical Cyclone - Category 1,June 2015,S. Pacific
LINFA,Typhoon,July 2015,W. Pacific
NANGKA,Violent Typhoon,July 2015,W. Pacific
TD,Tropical Storm,July 2015,E. Pacific
HALOLA,Hurricane - Category 2,July 2015,W. Pacific
IUNE,Tropical Storm,July 2015,W. Pacific
DOLORES,Hurricane - Category 4,July 2015,E. Pacific
ENRIQUE,Tropical Storm,July 2015,E. Pacific
CLAUDETTE,Tropical Storm,July 2015,Atlantic
TWELVE,Tropical Storm,July 2015,W. Pacific
FELICIA,Tropical Storm,July 2015,E. Pacific
TD,Tropical Depression,July 2015,E. Pacific
TWO,Cyclonic Storm,July 2015,Indian
