Name,Status,Date,Basin
CODY,Tropical Cyclone - Category 2,January 2022,S. Pacific
TIFFANY,Tropical Cyclone - Category 3,January 2022,S. Pacific
ANA,Moderate Tropical Storm,January 2022,Indian
BATSIRAI,Very Intense Tropical Cyclone,January 2022,Indian
NINE,Tropical Cyclone - Category 1,January 2022,S. Pacific
CLIFF,Moderate Tropical Storm,February 2022,Indian
DOVI,Tropical Cyclone - Category 4,February 2022,S. Pacific
DUMAKO,Severe Tropical Storm,February 2022,Indian
EMNATI,Intense Tropical Cyclone,February 2022,Indian
VERNON,Intense Tropical Cyclone,February 2022,Indian
ANIKA,Severe Tropical Storm,February 2022,Indian
SEVENTEEN,Moderate Tropical Storm,March 2022,Indian
EVA,Tropical Cyclone - Category 1,March 2022,S. Pacific
ONE,Cyclonic Storm,March 2022,Indian
GOMBE,Intense Tropical Cyclone,March 2022,Indian
BILLY,Severe Tropical Storm,March 2022,Indian
CHARLOTTE,Intense Tropical Cyclone,March 2022,Indian
HALIMA,Very Intense Tropical Cyclone,March 2022,Indian
ONE,Tropical Depression,March 2022,W. Pacific
FILI,Tropical Cyclone - Category 2,April 2022,S. Pacific
MALAKAS,Violent Typhoon,April 2022,W. Pacific
MEGI,Tropical Storm,April 2022,W. Pacific
JASMINE,Severe Tropical Storm,April 2022,Indian
ASANI,Very Severe Cyclonic Storm,May 2022,Indian
KARIM,Severe Tropical Storm,May 2022,Indian
GINA,Tropical Cyclone - Category 1,May 2022,S. Pacific
Agatha,Hurricane - Category 2,May 2022,E. Pacific
Alex,Tropical Storm,June 2022,Atlantic
Blas,Hurricane - Category 1,June 2022,E. Pacific
Celia,Tropical Storm,June 2022,E. Pacific
Bonnie,Tropical Storm,June 2022,Atlantic
CHABA,Typhoon,June 2022,W. Pacific
AERE,Tropical Storm,June 2022,W. Pacific
Colin,Tropical Storm,July 2022,Atlantic
Bonnie,Hurricane - Category 3,July 2022,E. Pacific
Darby,Hurricane - Category 4,July 2022,E. Pacific
Estelle,Hurricane - Category 1,July 2022,E. Pacific
Frank,Hurricane - Category 1,July 2022,E. Pacific
Georgette,Tropical Storm,July 2022,E. Pacific
ONE,Moderate Tropical Storm,July 2022,Indian
SONGDA,Tropical Depression,July 2022,W. Pacific
TRASES,Tropical Depression,August 2022,W. Pacific
EIGHT,Tropical Depression,August 2022,W. Pacific
Howard,Hurricane - Category 1,August 2022,E. Pacific
MEARI,Tropical Storm,August 2022,W. Pacific
THREE,Cyclonic Storm,August 2022,Indian
Ivette,Tropical Storm,August 2022,E. Pacific
FOUR,Cyclonic Storm,August 2022,Indian
Tropical,Potential Tropical Cyclone,August 2022,Atlantic
MA-ON,Severe Tropical Storm,August 2022,W. Pacific
TOKAGE,Very Strong Typhoon,August 2022,W. Pacific
HINNAMNOR,Violent Typhoon,August 2022,W. Pacific
THIRTEEN,Tropical Depression,August 2022,W. Pacific
Danielle,Hurricane - Category 1,September 2022,Atlantic
JAVIER,Tropical Storm,September 2022,E. Pacific
Earl,Hurricane - Category 2,September 2022,Atlantic
KAY,Hurricane - Category 2,September 2022,E. Pacific
MUIFA,Violent Typhoon,September 2022,W. Pacific
MERBOK,Typhoon,September 2022,W. Pacific
NANMADOL,Violent Typhoon,September 2022,W. Pacific
Fiona,Hurricane - Category 4,September 2022,Atlantic
LESTER,Tropical Storm,September 2022,E. Pacific
Madeline,Tropical Storm,September 2022,E. Pacific
Gaston,Tropical Storm,September 2022,Atlantic
TALAS,Tropical Storm,September 2022,W. Pacific
Newton,Tropical Storm,September 2022,E. Pacific
NORU,Violent Typhoon,September 2022,W. Pacific
Ian,Hurricane - Category 4,September 2022,Atlantic
Hermine,Tropical Storm,September 2022,Atlantic
KULAP,Typhoon,September 2022,W. Pacific
ASHLEY,Moderate Tropical Storm,September 2022,Indian
ROKE,Very Strong Typhoon,September 2022,W. Pacific
TD,Tropical Depression,September 2022,Atlantic
Orlene,Hurricane - Category 4,September 2022,E. Pacific
Paine,Tropical Storm,October 2022,E. Pacific
TD,Tropical Depression,October 2022,Atlantic
BALITA,Moderate Tropical Storm,October 2022,Indian
Julia,Hurricane - Category 1,October 2022,Atlantic
Julia,Tropical Storm,October 2022,E. Pacific
Karl,Tropical Storm,October 2022,Atlantic
TWENTYONE,Tropical Storm,October 2022,W. Pacific
SONCA,Tropical Storm,October 2022,W. Pacific
NESAT,Very Strong Typhoon,October 2022,W. Pacific
HAITANG,Tropical Storm,October 2022,W. Pacific
TWENTYFIVE,Tropical Depression,October 2022,W. Pacific
Roslyn,Hurricane - Category 4,October 2022,E. Pacific
SITRANG,Cyclonic Storm,October 2022,Indian
NALGAE,Typhoon,October 2022,W. Pacific
BANYAN,Tropical Storm,October 2022,W. Pacific
Lisa,Hurricane - Category 1,October 2022,Atlantic
Martin,Hurricane - Category 1,November 2022,Atlantic
FOUR,Moderate Tropical Storm,November 2022,Indian
Nicole,Hurricane - Category 1,November 2022,Atlantic
YAMANEKO,Tropical Storm,November 2022,W. Pacific
MANDOUS,Severe Cyclonic Storm,December 2022,Indian
PAKHAR,Severe Tropical Storm,December 2022,W. Pacific
SEVEN,Cyclonic Storm,December 2022,Indian
