Name,Status,Date,Basin
MONA,Tropical Cyclone - Category 2,January 2019,S. Pacific
ONE,Tropical Depression,January 2019,W. Pacific
DESMOND,Moderate Tropical Storm,January 2019,Indian
RILEY,Tropical Cyclone,January 2019,Indian
FUNANI,Intense Tropical Cyclone,February 2019,Indian
GELENA,Very Intense Tropical Cyclone,February 2019,Indian
NEIL,Tropical Cyclone - Category 1,February 2019,S. Pacific
OMA,Tropical Cyclone - Category 3,February 2019,S. Pacific
WUTIP,Violent Typhoon,February 2019,W. Pacific
POLA,Tropical Cyclone - Category 4,February 2019,S. Pacific
HALEH,Intense Tropical Cyclone,March 2019,Indian
IDAI,Intense Tropical Cyclone,March 2019,Indian
SAVANNAH,Intense Tropical Cyclone,March 2019,Indian
THREE,Tropical Depression,March 2019,W. Pacific
TREVOR,Tropical Cyclone - Category 4,March 2019,S. Pacific
VERONICA,Very Intense Tropical Cyclone,March 2019,Indian
JOANINHA,Intense Tropical Cyclone,March 2019,Indian
WALLACE,Tropical Cyclone,April 2019,Indian
KENNETH,Very Intense Tropical Cyclone,April 2019,Indian
LORNA,Tropical Cyclone,April 2019,Indian
FANI,Super Cyclonic Storm,April 2019,Indian
LILI,Moderate Tropical Storm,May 2019,Indian
ANN,Tropical Cyclone - Category 2,May 2019,S. Pacific
ANDREA,Subtropical,May 2019,Atlantic
VAYU,Extremely Severe Cyclonic Storm,June 2019,Indian
Alvin,Hurricane - Category 1,June 2019,E. Pacific
FOUR,Tropical Storm,June 2019,W. Pacific
Barbara,Hurricane - Category 4,June 2019,E. Pacific
MUN,Tropical Storm,July 2019,W. Pacific
Cosme,Tropical Storm,July 2019,E. Pacific
Barry,Hurricane - Category 1,July 2019,Atlantic
TD,Tropical Depression,July 2019,E. Pacific
DANAS,Tropical Storm,July 2019,W. Pacific
Dalila,Tropical Storm,July 2019,E. Pacific
TD,Tropical Depression,July 2019,Atlantic
NARI,Tropical Storm,July 2019,W. Pacific
Erick,Hurricane - Category 4,July 2019,E. Pacific
Flossie,Hurricane - Category 1,July 2019,E. Pacific
WIPHA,Tropical Storm,July 2019,W. Pacific
FRANCISCO,Typhoon,August 2019,W. Pacific
Gil,Tropical Storm,August 2019,E. Pacific
LEKIMA,Violent Typhoon,August 2019,W. Pacific
KROSA,Very Strong Typhoon,August 2019,W. Pacific
Henriette,Tropical Storm,August 2019,E. Pacific
Chantal,Tropical Storm,August 2019,Atlantic
BAILU,Severe Tropical Storm,August 2019,W. Pacific
Ivo,Tropical Storm,August 2019,E. Pacific
Dorian,Hurricane - Category 5,August 2019,Atlantic
PODUL,Tropical Storm,August 2019,W. Pacific
Erin,Tropical Storm,August 2019,Atlantic
JULIETTE,Hurricane - Category 3,September 2019,E. Pacific
FAXAI,Violent Typhoon,September 2019,W. Pacific
LINGLING,Violent Typhoon,September 2019,W. Pacific
KAJIKI,Tropical Depression,September 2019,W. Pacific
Fernand,Tropical Storm,September 2019,Atlantic
Gabrielle,Tropical Storm,September 2019,Atlantic
Akoni,Tropical Storm,September 2019,E. Pacific
Kiko,Hurricane - Category 4,September 2019,E. Pacific
Humberto,Hurricane - Category 3,September 2019,Atlantic
PEIPAH,Tropical Storm,September 2019,W. Pacific
JERRY,Hurricane - Category 2,September 2019,Atlantic
Mario,Tropical Storm,September 2019,E. Pacific
Lorena,Hurricane - Category 1,September 2019,E. Pacific
Imelda,Tropical Storm,September 2019,Atlantic
TAPAH,Severe Tropical Storm,September 2019,W. Pacific
Karen,Tropical Storm,September 2019,Atlantic
HIKAA,Very Severe Cyclonic Storm,September 2019,Indian
Lorenzo,Hurricane - Category 5,September 2019,Atlantic
MITAG,Very Strong Typhoon,September 2019,W. Pacific
Narda,Tropical Storm,September 2019,E. Pacific
HAGIBIS,Violent Typhoon,October 2019,W. Pacific
Melissa,Subtropical,October 2019,Atlantic
Ema,Tropical Storm,October 2019,W. Pacific
TD,Tropical Depression,October 2019,Atlantic
Tropical,Potential Tropical Cyclone,October 2019,E. Pacific
NEOGURI,Very Strong Typhoon,October 2019,W. Pacific
NESTOR,Potential Tropical Cyclone,October 2019,Atlantic
Octave,Tropical Storm,October 2019,E. Pacific
BUALOI,Violent Typhoon,October 2019,W. Pacific
Priscilla,Tropical Storm,October 2019,E. Pacific
KYARR,Super Cyclonic Storm,October 2019,Indian
Olga,Post-Tropical Cyclone,October 2019,Atlantic
Pablo,Hurricane - Category 1,October 2019,Atlantic
MATMO,Very Strong Typhoon,October 2019,W. Pacific
MAHA,Extremely Severe Cyclonic Storm,October 2019,Indian
Rebekah,Subtropical,October 2019,Atlantic
HALONG,Violent Typhoon,November 2019,W. Pacific
NAKRI,Typhoon,November 2019,W. Pacific
FENGSHEN,Violent Typhoon,November 2019,W. Pacific
KALMAEGI,Typhoon,November 2019,W. Pacific
Raymond,Tropical Storm,November 2019,E. Pacific
TD,Tropical Depression,November 2019,E. Pacific
Sebastien,Tropical Storm,November 2019,Atlantic
FUNG-WONG,Severe Tropical Storm,November 2019,W. Pacific
RITA,Tropical Cyclone - Category 3,November 2019,S. Pacific
KAMMURI,Violent Typhoon,November 2019,W. Pacific
PAWAN,Cyclonic Storm,December 2019,Indian
SEVEN,Cyclonic Storm,December 2019,Indian
BELNA,Intense Tropical Cyclone,December 2019,Indian
AMBALI,Very Intense Tropical Cyclone,December 2019,Indian
PHANFONE,Very Strong Typhoon,December 2019,W. Pacific
SARAI,Tropical Cyclone - Category 3,December 2019,S. Pacific
CALVINIA,Tropical Cyclone,December 2019,Indian
