Name,Status,Date,Basin
BLAKE,Severe Tropical Storm,January 2020,Indian
CLAUDIA,Tropical Cyclone,January 2020,Indian
TINO,Tropical Cyclone - Category 3,January 2020,S. Pacific
NINE,Moderate Tropical Storm,January 2020,Indian
ESAMI,Moderate Tropical Storm,January 2020,Indian
TWELVE,Tropical Cyclone - Category 1,January 2020,S. Pacific
FRANCISCO,Moderate Tropical Storm,February 2020,Indian
DAMIEN,Intense Tropical Cyclone,February 2020,Indian
UESI,Tropical Cyclone - Category 3,February 2020,S. Pacific
GABEKILE,Tropical Cyclone,February 2020,Indian
VICKY,Tropical Cyclone - Category 1,February 2020,S. Pacific
WASI,Tropical Cyclone - Category 2,February 2020,S. Pacific
ESTHER,Tropical Cyclone - Category 2,February 2020,S. Pacific
FERDINAND,Intense Tropical Cyclone,February 2020,Indian
TWENTYONE,Moderate Tropical Storm,March 2020,Indian
HEROLD,Intense Tropical Cyclone,March 2020,Indian
GRETEL,Tropical Cyclone - Category 2,March 2020,S. Pacific
IRONDRO,Intense Tropical Cyclone,April 2020,Indian
HAROLD,Tropical Cyclone - Category 5,April 2020,S. Pacific
JERUTO,Moderate Tropical Storm,April 2020,Indian
TD,Tropical Depression,April 2020,E. Pacific
VONGFONG,Violent Typhoon,May 2020,W. Pacific
AMPHAN,Super Cyclonic Storm,May 2020,Indian
Arthur,Tropical Storm,May 2020,Atlantic
MANGGA,Moderate Tropical Storm,May 2020,Indian
Bertha,Tropical Storm,May 2020,Atlantic
Amanda,Tropical Storm,May 2020,E. Pacific
Cristobal,Tropical Storm,June 2020,Atlantic
NISARGA,Very Severe Cyclonic Storm,June 2020,Indian
NURI,Tropical Storm,June 2020,W. Pacific
Dolly,Tropical Storm,June 2020,Atlantic
Boris,Tropical Storm,June 2020,E. Pacific
TD,Tropical Depression,June 2020,E. Pacific
Edouard,Tropical Storm,July 2020,Atlantic
CRISTINA,Tropical Storm,July 2020,E. Pacific
Fay,Tropical Storm,July 2020,Atlantic
TD,Tropical Depression,July 2020,E. Pacific
TD,Tropical Depression,July 2020,E. Pacific
Douglas,Hurricane - Category 4,July 2020,E. Pacific
Gonzalo,Tropical Storm,July 2020,Atlantic
Hanna,Hurricane - Category 1,July 2020,Atlantic
Isaias,Hurricane - Category 1,July 2020,Atlantic
TD,Tropical Depression,July 2020,Atlantic
HAGUPIT,Typhoon,August 2020,W. Pacific
SINLAKU,Tropical Storm,August 2020,W. Pacific
JANGMI,Tropical Storm,August 2020,W. Pacific
ELIDA,Hurricane - Category 2,August 2020,E. Pacific
SIX,Tropical Storm,August 2020,W. Pacific
MEKKHALA,Typhoon,August 2020,W. Pacific
Josephine,Tropical Storm,August 2020,Atlantic
TD,Tropical Depression,August 2020,E. Pacific
Kyle,Tropical Storm,August 2020,Atlantic
Fausto,Tropical Storm,August 2020,E. Pacific
Genevieve,Hurricane - Category 4,August 2020,E. Pacific
HIGOS,Severe Tropical Storm,August 2020,W. Pacific
Laura,Hurricane - Category 4,August 2020,Atlantic
Marco,Hurricane - Category 1,August 2020,Atlantic
BAVI,Very Strong Typhoon,August 2020,W. Pacific
Hernan,Tropical Storm,August 2020,E. Pacific
Iselle,Tropical Storm,August 2020,E. Pacific
MAYSAK,Violent Typhoon,August 2020,W. Pacific
HAISHEN,Violent Typhoon,August 2020,W. Pacific
Omar,Tropical Storm,August 2020,Atlantic
Nana,Hurricane - Category 1,September 2020,Atlantic
Julio,Tropical Storm,September 2020,E. Pacific
