Name,Status,Date,Basin
BOLAVEN,Tropical Depression,January 2018,W. Pacific
AVA,Intense Tropical Cyclone,January 2018,Indian
IRVING,Intense Tropical Cyclone,January 2018,Indian
JOYCE,Severe Tropical Storm,January 2018,Indian
BERGUITTA,Intense Tropical Cyclone,January 2018,Indian
CEBILE,Very Intense Tropical Cyclone,January 2018,Indian
FEHI,Tropical Cyclone - Category 2,January 2018,S. Pacific
SANBA,Tropical Storm,February 2018,W. Pacific
GITA,Tropical Cyclone - Category 5,February 2018,S. Pacific
KELVIN,Tropical Cyclone,February 2018,Indian
DUMAZILE,Intense Tropical Cyclone,March 2018,Indian
HOLA,Tropical Cyclone - Category 4,March 2018,S. Pacific
LINDA,Tropical Cyclone - Category 2,March 2018,S. Pacific
ELIAKIM,Severe Tropical Storm,March 2018,Indian
MARCUS,Very Intense Tropical Cyclone,March 2018,Indian
NORA,Tropical Cyclone - Category 4,March 2018,S. Pacific
JELAWAT,Violent Typhoon,March 2018,W. Pacific
IRIS,Tropical Cyclone - Category 2,March 2018,S. Pacific
JOSIE,Tropical Cyclone - Category 1,March 2018,S. Pacific
KENI,Tropical Cyclone - Category 3,April 2018,S. Pacific
FAKIR,Tropical Cyclone,April 2018,Indian
FLAMBOYAN,Tropical Cyclone,April 2018,Indian
TD,Tropical Depression,May 2018,E. Pacific
FOUR,Tropical Storm,May 2018,W. Pacific
SAGAR,Severe Cyclonic Storm,May 2018,Indian
MEKUNU,Extremely Severe Cyclonic Storm,May 2018,Indian
Alberto,Subtropical,May 2018,Atlantic
EWINIAR,Tropical Storm,June 2018,W. Pacific
ALETTA,Hurricane - Category 4,June 2018,E. Pacific
MALIKSI,Severe Tropical Storm,June 2018,W. Pacific
BUD,Hurricane - Category 4,June 2018,E. Pacific
SEVEN,Tropical Storm,June 2018,W. Pacific
GAEMI,Tropical Storm,June 2018,W. Pacific
CARLOTTA,Tropical Storm,June 2018,E. Pacific
Daniel,Tropical Storm,June 2018,E. Pacific
EMILIA,Tropical Storm,June 2018,E. Pacific
PRAPIROON,Typhoon,June 2018,W. Pacific
FABIO,Hurricane - Category 2,June 2018,E. Pacific
MARIA,Violent Typhoon,July 2018,W. Pacific
BERYL,Hurricane - Category 1,July 2018,Atlantic
Chris,Hurricane - Category 2,July 2018,Atlantic
SON-TINH,Tropical Storm,July 2018,W. Pacific
AMPIL,Severe Tropical Storm,July 2018,W. Pacific
