Name,Status,Date,Basin
DANILO,Tropical Cyclone,January 2021,Indian
IMOGEN,Tropical Cyclone - Category 1,January 2021,S. Pacific
JOSHUA,Moderate Tropical Storm,January 2021,Indian
KIMI,Tropical Cyclone - Category 2,January 2021,S. Pacific
ELOISE,Tropical Cyclone,January 2021,Indian
FOURTEEN,Moderate Tropical Storm,January 2021,Indian
THIRTEEN,Moderate Tropical Storm,January 2021,Indian
ANA,Tropical Cyclone - Category 3,January 2021,S. Pacific
BINA,Tropical Cyclone - Category 1,January 2021,S. Pacific
LUCAS,Tropical Cyclone - Category 3,January 2021,S. Pacific
EIGHTEEN,Moderate Tropical Storm,January 2021,Indian
FARAJI,Very Intense Tropical Cyclone,February 2021,Indian
TWENTY,Tropical Cyclone - Category 1,February 2021,S. Pacific
DUJUAN,Tropical Storm,February 2021,W. Pacific
GUAMBE,Tropical Cyclone,February 2021,Indian
MARIAN,Intense Tropical Cyclone,February 2021,Indian
NIRAN,Tropical Cyclone - Category 5,March 2021,S. Pacific
HABANA,Very Intense Tropical Cyclone,March 2021,Indian
IMAN,Moderate Tropical Storm,March 2021,Indian
SEROJA,Tropical Cyclone,April 2021,Indian
ODETTE,Severe Tropical Storm,April 2021,Indian
TWENTYEIGHT,Tropical Cyclone - Category 1,April 2021,S. Pacific
SURIGAE,Violent Typhoon,April 2021,W. Pacific
JOBO,Severe Tropical Storm,April 2021,Indian
Andres,Tropical Storm,May 2021,E. Pacific
THREE,Tropical Storm,May 2021,W. Pacific
TAUKTAE,Super Cyclonic Storm,May 2021,Indian
Ana,Subtropical,May 2021,Atlantic
YAAS,Very Severe Cyclonic Storm,May 2021,Indian
CHOI-WAN,Severe Tropical Storm,May 2021,W. Pacific
Blanca,Tropical Storm,May 2021,E. Pacific
KOGUMA,Tropical Storm,June 2021,W. Pacific
Carlos,Tropical Storm,June 2021,E. Pacific
Bill,Tropical Storm,June 2021,Atlantic
Claudette,Potential Tropical Cyclone,June 2021,Atlantic
Dolores,Tropical Storm,June 2021,E. Pacific
CHAMPI,Typhoon,June 2021,W. Pacific
Enrique,Hurricane - Category 1,June 2021,E. Pacific
Danny,Tropical Storm,June 2021,Atlantic
Elsa,Hurricane - Category 1,June 2021,Atlantic
SEVEN,Tropical Depression,July 2021,W. Pacific
EIGHT,Tropical Depression,July 2021,W. Pacific
Felicia,Hurricane - Category 4,July 2021,E. Pacific
IN-FA,Very Strong Typhoon,July 2021,W. Pacific
Guillermo,Tropical Storm,July 2021,E. Pacific
CEMPAKA,Typhoon,July 2021,W. Pacific
NEPARTAK,Tropical Storm,July 2021,W. Pacific
Hilda,Hurricane - Category 1,July 2021,E. Pacific
Jimena,Tropical Storm,July 2021,E. Pacific
Ignacio,Tropical Storm,August 2021,E. Pacific
TWELVE,Tropical Depression,August 2021,W. Pacific
LUPIT,Severe Tropical Storm,August 2021,W. Pacific
MIRINAE,Severe Tropical Storm,August 2021,W. Pacific
NIDA,Severe Tropical Storm,August 2021,W. Pacific
Kevin,Tropical Storm,August 2021,E. Pacific
Fred,Tropical Storm,August 2021,Atlantic
Linda,Hurricane - Category 4,August 2021,E. Pacific
OMAIS,Severe Tropical Storm,August 2021,W. Pacific
Grace,Hurricane - Category 3,August 2021,Atlantic
Henri,Hurricane - Category 1,August 2021,Atlantic
Marty,Tropical Storm,August 2021,E. Pacific
Nora,Hurricane - Category 1,August 2021,E. Pacific
Ida,Hurricane - Category 4,August 2021,Atlantic
Kate,Tropical Storm,August 2021,Atlantic
Julian,Tropical Storm,August 2021,Atlantic
Larry,Hurricane - Category 3,August 2021,Atlantic
SEVENTEEN,Tropical Depression,September 2021,W. Pacific
CONSON,Severe Tropical Storm,September 2021,W. Pacific
CHANTHU,Violent Typhoon,September 2021,W. Pacific
Olaf,Hurricane - Category 2,September 2021,E. Pacific
Mindy,Tropical Storm,September 2021,Atlantic
Nicholas,Hurricane - Category 1,September 2021,Atlantic
ODETTE,Tropical Storm,September 2021,Atlantic
Peter,Tropical Storm,September 2021,Atlantic
Rose,Tropical Storm,September 2021,Atlantic
MINDULLE,Violent Typhoon,September 2021,W. Pacific
DIANMU,Tropical Storm,September 2021,W. Pacific
Sam,Hurricane - Category 4,September 2021,Atlantic
SHAHEEN-GULAB,Very Severe Cyclonic Storm,September 2021,Indian
Teresa,Subtropical,September 2021,Atlantic
Victor,Tropical Storm,September 2021,Atlantic
LIONROCK,Tropical Storm,October 2021,W. Pacific
NAMTHEUN,Typhoon,October 2021,W. Pacific
KOMPASU,Severe Tropical Storm,October 2021,W. Pacific
Pamela,Hurricane - Category 1,October 2021,E. Pacific
Rick,Hurricane - Category 2,October 2021,E. Pacific
MALOU,Very Strong Typhoon,October 2021,W. Pacific
TWENTYSIX,Tropical Depression,October 2021,W. Pacific
Wanda,Subtropical,October 2021,Atlantic
Terry,Tropical Storm,November 2021,E. Pacific
Sandra,Tropical Storm,November 2021,E. Pacific
FOUR,Cyclonic Storm,November 2021,Indian
PADDY,Moderate Tropical Storm,November 2021,Indian
NYATOH,Violent Typhoon,November 2021,W. Pacific
TERATAI,Moderate Tropical Storm,December 2021,Indian
JAWAD,Cyclonic Storm,December 2021,Indian
RUBY,Tropical Cyclone - Category 3,December 2021,S. Pacific
RAI,Violent Typhoon,December 2021,W. Pacific
TWENTYNINE,Tropical Depression,December 2021,W. Pacific
SETH,Tropical Cyclone - Category 2,December 2021,S. Pacific
